docid	author	authordate	title	latestcomp	hathidate	imprint	gutenstring	enumcron	gbindex	nonficprob	juvenileprob	LOCgenres	LOCsubjects	contents	instances	genre	audience	authgender	multiplehtids	comments	coder
inu.30000011498684	"Behn, Aphra"	1640-1689.	The works of Aphra Behn	1689	1915	London;W. Heinemann;Stratfor	"Behn, Aphra | The Works of Aphra Behn"	v.5	29854	0.493240049	0.137225007				1	fic		f			ted
hvd.32044021691274	"Pr??vost, abb??"	1697-1763.	Manon Lescaut	1731	1886	"Westport, Conn.|Hyperion Pre"	"Pr??vost, abb?? | Manon Lescaut"		468	0.272067396	0.005883356		"History|To 1803|Louis XIV, 1643-1715"	Hyperion reprint ed.	1	fic		m			wenyi
umn.31951d015921323	"Pu, Songling"	1640-1715.	Strange stories from a Chinese studio	1740	1908	London;T. Werner Laurie;1916	"Pu, Songling | Strange Stories from a Chinese Studio Vol. II (of 2)"		43628	0.517125231	0.370130585	Bibliographies		"3d. ed., rev."	1	fic | folklore | mystery | short		m			wenyi
nyp.33433074864178	"Hays, Mary"	1759 or 60-1843.	Memoirs of Emma Courtney	1802	1802	New York;Printed for Hugh M.	"Hays, Mary | Memoirs of Emma Courtney"		41256	0	0				1	fic		f			peizhen
wu.89006385306	"Opie, Amelia Alderson"	1769-1853.	Adeline Mowbray	1805	1810	"London;Longman, Hurst, Rees,"	"Opie, Amelia Alderson | Adeline Mowbray"		37908						1	fic		f			wenyi
hvd.hn2hfv	"Semple, Elizabeth"	fl. 1804-1816.	"A cup of sweets that can never cloy : or, Delightful tales for good children"	1814	1814	London;printed for J. Harris	"Semple, Elizabeth | A cup of sweets, that can never cloy"		42024	0.476439653	0.999739157	Juvenile audience		6th ed.	1	fic | short	juv	f			wenyi
njp.32101064786526	"Austen, Jane"	1775-1817.	Persuasion	1817	1901	London;J.M. Dent;1902.	"Austen, Jane | Persuasion"	v.10	36777	0.045839054	0.047020901	Autobiography|Bibliographies	"English literature|England|Social life and customs|Young women|Correspondence|1775-1817|Austen, Jane|19th century"	v. 1-2. Sense and sensibility -- v. 3-4. Pride and prejudice -- v. 5-6. Mansfield Park -- v.7-8. Emma -- v. 9. Northanger Abbey -- v. 10. Persuasion.	1	fic		f			ted
mdp.39015060783720	"More, Hannah"	1745-1833.	The shepherd of Salisbury Plain	1825	1825	Philadelphia;American Sunday	"More, Hannah | The Shepherd of Salisbury Plain and Other Tales"		31697	0.694165426	0.935928137	Juvenile audience	"1717-1796|Religious aspects|Contentment|Juvenile literature|Work ethic|Christianity|Christian life|Saunders, David"		1	fic | folklore | short	juv	f			wenyi
uc2.ark=+13960+t2f766t3r	"Berens, Edward"		Christmas stories	1827	1827	Oxford;W. Baxter;1827.	"Berens, Edward | Christmas Stories"		35397	0.401404071	0.070592663				1	fic | short		m			ted
uva.x000723476	"Hauff, Wilhelm"	1802-1827.	The wine-ghosts of Bremen;	1827	1889	New York;and London;White an	"Hauff, Wilhelm | The Wine-ghosts of Bremen"		32064	0.392825332	0.1683634				1	fic | mystery		m			peizhen
uc2.ark=+13960+t8z897s8x	"Moore, Thomas"	1779-1852.	The Epicurean	1831	1831	"London;Printed for Longman,"	"Moore, Thomas | The Epicurean"		49332	0.140024853	0.032747541				1	fic | historical		m			wenyi
uc2.ark=+13960+t9z031r2b	"MacDonald, George"	1824-1905.	The princess and Curdie	1832	1832	Philadelphia;J. B. Lippincot	"MacDonald, George | The Princess and Curdie"		36612	0.085251326	0.94219862				1	fic	juv	m			peizhen
osu.32435002999571	"Kennedy, John Pendleton"	1795-1870.	Horse-shoe Robinson	1835	1835	London;Bentley;1835.	"Kennedy, John Pendleton | Horse-Shoe Robinson"	vol.1	33478	0.161252539	0.020985954	Bibliographies	"Revolution, 1775-1783|History"		1	fic | historical		m			peizhen
